dataset,dx,mean,std,roi
B-SNIP,control_schizophrenia,2.600170020202225,0.8767055656543884,Left bankssts 1
B-SNIP,control_schizophrenia,2.48285365423452,0.9893863578035476,Left caudalanteriorcingulate 1
B-SNIP,control_schizophrenia,2.605996272024987,0.8517167394576883,Left caudalmiddlefrontal 1
B-SNIP,control_schizophrenia,1.9610507630979659,0.9114545089331212,Left cuneus 1
B-SNIP,control_schizophrenia,3.1840049193658224,0.9451782901394007,Left entorhinal 1
B-SNIP,control_schizophrenia,2.62804027585601,0.9578254906761561,Left fusiform 1
B-SNIP,control_schizophrenia,2.861114741143284,1.195714441506021,Left fusiform 2
B-SNIP,control_schizophrenia,2.5342105285981518,0.8965597229564027,Left inferiorparietal 1
B-SNIP,control_schizophrenia,2.496984863362761,0.8512840546750661,Left inferiorparietal 2
B-SNIP,control_schizophrenia,2.9400512854584133,1.1531682366089229,Left inferiortemporal 1
B-SNIP,control_schizophrenia,2.695727226602376,1.0974160219347688,Left inferiortemporal 2
B-SNIP,control_schizophrenia,2.592052954926378,0.9681087150153607,Left isthmuscingulate 1
B-SNIP,control_schizophrenia,2.0700159298550282,0.9052665515080769,Left lateraloccipital 1
B-SNIP,control_schizophrenia,2.3710574571186043,0.8566589834091455,Left lateraloccipital 2
B-SNIP,control_schizophrenia,2.8290229201928514,0.9034721222002593,Left lateralorbitofrontal 1
B-SNIP,control_schizophrenia,2.6145860142203223,0.8578456611847033,Left lateralorbitofrontal 2
B-SNIP,control_schizophrenia,1.9925714192960737,0.8473802999075223,Left lingual 1
B-SNIP,control_schizophrenia,2.1683347454488087,0.8962899295741609,Left lingual 2
B-SNIP,control_schizophrenia,2.477038566478193,0.7650018243547271,Left medialorbitofrontal 1
B-SNIP,control_schizophrenia,2.7829824585543097,0.9041152317697839,Left middletemporal 1
B-SNIP,control_schizophrenia,3.0156935532341507,1.021930362927626,Left middletemporal 2
B-SNIP,control_schizophrenia,2.7790107076122545,0.957570702466747,Left parahippocampal 1
B-SNIP,control_schizophrenia,2.4959271304714297,0.9017150058438796,Left paracentral 1
B-SNIP,control_schizophrenia,2.7416945913164352,0.9133879668395448,Left parsopercularis 1
B-SNIP,control_schizophrenia,2.7897397699182966,1.0009042195689823,Left parsorbitalis 1
B-SNIP,control_schizophrenia,2.5794967376037437,0.9394048644169588,Left parstriangularis 1
B-SNIP,control_schizophrenia,1.6755486141420137,0.8584319648791778,Left pericalcarine 1
B-SNIP,control_schizophrenia,1.8767930917361648,1.0874515852118614,Left postcentral 1
B-SNIP,control_schizophrenia,2.0901455110190783,0.9879356066370923,Left postcentral 2
B-SNIP,control_schizophrenia,2.437124752281939,0.9156471396658019,Left postcentral 3
B-SNIP,control_schizophrenia,2.5386727347435016,0.9849462707190141,Left posteriorcingulate 1
B-SNIP,control_schizophrenia,2.467468634565753,0.880321030431947,Left precentral 1
B-SNIP,control_schizophrenia,2.5605659630646858,0.9338353787170899,Left precentral 2
B-SNIP,control_schizophrenia,2.5211610533305424,0.8682849032231467,Left precentral 3
B-SNIP,control_schizophrenia,2.826174391897258,0.875561109340253,Left precentral 4
B-SNIP,control_schizophrenia,2.365892260224715,0.9290720931340661,Left precuneus 1
B-SNIP,control_schizophrenia,2.489128762975164,0.9040681380168943,Left precuneus 2
B-SNIP,control_schizophrenia,2.8122113434308096,1.02738714606258,Left rostralanteriorcingulate 1
B-SNIP,control_schizophrenia,2.461677442646102,0.9114197366253518,Left rostralmiddlefrontal 1
B-SNIP,control_schizophrenia,2.411172423172024,0.9279997712632594,Left rostralmiddlefrontal 2
B-SNIP,control_schizophrenia,2.458528855418105,0.9228593846433109,Left rostralmiddlefrontal 3
B-SNIP,control_schizophrenia,2.7414542664645665,0.8900678182593496,Left superiorfrontal 1
B-SNIP,control_schizophrenia,2.916734188375546,0.9052859453632228,Left superiorfrontal 2
B-SNIP,control_schizophrenia,2.7478631653994876,0.8259349458627062,Left superiorfrontal 3
B-SNIP,control_schizophrenia,2.822759500865134,0.8162202928641652,Left superiorfrontal 4
B-SNIP,control_schizophrenia,2.257426301945212,0.9248938157550642,Left superiorparietal 1
B-SNIP,control_schizophrenia,2.2769113416742037,0.8819532364721654,Left superiorparietal 2
B-SNIP,control_schizophrenia,2.2603835724389696,0.8798475799409567,Left superiorparietal 3
B-SNIP,control_schizophrenia,2.6765758859733846,0.8461322973552572,Left superiortemporal 1
B-SNIP,control_schizophrenia,2.9623321235202167,1.08298005184452,Left superiortemporal 2
B-SNIP,control_schizophrenia,2.660612734686953,0.8958363316134815,Left supramarginal 1
B-SNIP,control_schizophrenia,2.6007590877455944,0.8155098936950944,Left supramarginal 2
B-SNIP,control_schizophrenia,2.7958404851516834,0.8996012130216794,Left frontalpole 1
B-SNIP,control_schizophrenia,3.5216814277755932,0.9664253279751193,Left temporalpole 1
B-SNIP,control_schizophrenia,2.4536768384091046,1.0531208047188652,Left transversetemporal 1
B-SNIP,control_schizophrenia,2.9476501810573006,1.0404389305833934,Left insula 1
B-SNIP,control_schizophrenia,3.2218444107523743,1.0021042140685794,Left insula 2
B-SNIP,control_schizophrenia,2.7088268381307725,0.9545114242570119,Right bankssts 1
B-SNIP,control_schizophrenia,2.475178846115894,0.8845570679622775,Right caudalanteriorcingulate 1
